,Unnamed: 0,lasttime,duration,areatime,tqv_values,maxarea,filename,ymdh,firsttime,dur_days,yyyy,mm,coastlat
0,10,2018-12-31 23:00:00,7 days 14:00:00,6320.271948143437,55.0,115.7755535553382,2018_12_31_23_lat10p00S.geojson,2018_12_31_23,2018-12-24 09:00:00,7,2018,12,-10.0
1,11,2018-12-26 03:00:00,2 days 10:00:00,992.494979563812,55.0,24.14266269983416,2018_12_26_03_lat3p623N.geojson,2018_12_26_03,2018-12-23 17:00:00,2,2018,12,3.623
2,12,2018-12-23 19:00:00,0 days 03:00:00,6.796218048599317,55.0,2.213510623296854,2018_12_23_19_lat20p76S.geojson,2018_12_23_19,2018-12-22 16:00:00,0,2018,12,-20.76
3,13,2018-12-23 06:00:00,0 days 12:00:00,39.61169783922933,55.0,3.661036875520331,2018_12_23_06_lat21p01S.geojson,2018_12_23_06,2018-12-21 18:00:00,0,2018,12,-21.01
4,14,2018-12-21 05:00:00,0 days 02:00:00,4.811527683005498,55.0,2.0778423550607825,2018_12_21_05_lat10p80S.geojson,2018_12_21_05,2018-12-20 03:00:00,0,2018,12,-10.8
5,15,2018-12-20 03:00:00,0 days 00:00:00,1.032786076190714,55.0,1.032786076190714,2018_12_20_03_lat17p93S.geojson,2018_12_20_03,2018-12-19 03:00:00,0,2018,12,-17.93
6,16,2018-12-20 02:00:00,0 days 00:00:00,2.015912827811717,55.0,2.015912827811717,2018_12_20_02_lat17p75S.geojson,2018_12_20_02,2018-12-19 02:00:00,0,2018,12,-17.75
7,17,2018-12-19 07:00:00,0 days 00:00:00,4.368588604546952,55.0,4.368588604546952,2018_12_19_07_lat12p98S.geojson,2018_12_19_07,2018-12-18 07:00:00,0,2018,12,-12.98
8,18,2018-12-19 06:00:00,0 days 00:00:00,3.472329951410309,55.0,3.472329951410309,2018_12_19_06_lat13p01S.geojson,2018_12_19_06,2018-12-18 06:00:00,0,2018,12,-13.01
9,19,2018-12-26 09:00:00,7 days 04:00:00,6648.870744679581,55.0,78.3476615751303,2018_12_26_09_lat13p57S.geojson,2018_12_26_09,2018-12-19 05:00:00,7,2018,12,-13.57
10,20,2018-12-26 01:00:00,6 days 20:00:00,7732.482920183101,55.0,114.53309235194888,2018_12_26_01_lat16p16S.geojson,2018_12_26_01,2018-12-19 05:00:00,6,2018,12,-16.16
11,21,2018-12-22 18:00:00,3 days 13:00:00,3393.273348410012,55.0,67.4081425467914,2018_12_22_18_lat9p548S.geojson,2018_12_22_18,2018-12-19 05:00:00,3,2018,12,-9.548
12,22,2018-12-20 01:00:00,0 days 20:00:00,455.85458854856233,55.0,36.283093454905625,2018_12_20_01_lat17p67S.geojson,2018_12_20_01,2018-12-18 05:00:00,0,2018,12,-17.67
13,23,2018-12-19 05:00:00,0 days 00:00:00,1.1342558472330335,55.0,1.1342558472330335,2018_12_19_05_lat9p106S.geojson,2018_12_19_05,2018-12-18 05:00:00,0,2018,12,-9.106
14,24,2018-12-19 05:00:00,0 days 03:00:00,7.995911720292638,55.0,2.722798522240982,2018_12_19_05_lat13p07S.geojson,2018_12_19_05,2018-12-18 02:00:00,0,2018,12,-13.07
15,25,2018-12-19 02:00:00,0 days 10:00:00,48.19907932505436,55.0,5.437584515405419,2018_12_19_02_lat8p352S.geojson,2018_12_19_02,2018-12-17 16:00:00,0,2018,12,-8.352
16,26,2018-12-18 15:00:00,0 days 00:00:00,1.8783845436489448,55.0,1.8783845436489448,2018_12_18_15_lat8p722S.geojson,2018_12_18_15,2018-12-17 15:00:00,0,2018,12,-8.722
17,27,2018-12-18 20:00:00,0 days 06:00:00,41.08668249422444,55.0,6.953956777697167,2018_12_18_20_lat17p56S.geojson,2018_12_18_20,2018-12-17 14:00:00,0,2018,12,-17.56
